,豆瓣评分,IMDB评分,类别,产地,年代,i-d,abs(i-d)
112,5.3,2.4,喜剧-动画-冒险,美国,2017,-2.9,2.9
266,8.3,5.7,剧情-同性,法国,2017,-2.6,2.6
539,6.1,3.6,喜剧-动作-冒险,印度,2018,-2.5,2.5
466,7.9,5.7,犯罪-恐怖,美国,2018,-2.2,2.2
687,8.7,6.5,剧情-喜剧,美国,2017,-2.2,2.2
265,8.2,6.5,喜剧-爱情-冒险,意大利-法国,2017,-1.7,1.7
16,9.3,7.7,纪录片-音乐,日本-英国-美国,2016,-1.6,1.6
150,8.3,6.8,剧情-惊悚,澳大利亚,2017,-1.5,1.5
274,8.9,7.4,爱情,法国-比利时,2017,-1.5,1.5
181,7.1,5.7,恐怖-犯罪-冒险,俄罗斯 Russia,2017,-1.4,1.4
278,5.9,4.6,剧情-动作-历史,俄罗斯,2016,-1.3,1.3
324,7.3,6.0,悬疑-惊悚-恐怖,美国,2017,-1.3,1.3
290,6.6,5.4,剧情-惊悚,法国-比利时,2017,-1.2,1.2
372,9.1,7.9,剧情-历史,韩国,2017,-1.2,1.2
262,8.1,6.9,剧情-喜剧,英国,2017,-1.2,1.2
391,7.7,6.5,剧情-爱情-战争,中国大陆,2018,-1.2,1.2
56,9.2,8.0,纪录片,法国,2017,-1.2,1.2
271,8.6,7.4,剧情-传记-历史,英国-美国,2017,-1.2,1.2
108,7.6,6.5,喜剧-动画,美国,2017,-1.1,1.1
23,6.0,4.9,剧情-悬疑-奇幻-惊悚,台湾,2016,-1.1,1.1
673,6.2,5.1,剧情-惊悚,美国,2019,-1.1,1.1
379,6.7,5.6,悬疑-惊悚-冒险,俄罗斯,2018,-1.1,1.1
566,8.2,7.2,剧情-喜剧,中国,2018,-1.0,1.0
129,6.8,5.8,喜剧-犯罪,德国,2017,-1.0,1.0
517,7.7,6.7,剧情-传记-犯罪,挪威-冰岛-美国,2018,-1.0,1.0
235,6.3,5.4,喜剧-犯罪-悬疑,美国-英国,2017,-0.9,0.9
152,8.4,7.5,剧情-历史-战争,德国-波兰-葡萄牙-法国,2017,-0.9,0.9
388,7.3,6.4,剧情-动作-冒险,中国大陆,2018,-0.9,0.9
469,8.2,7.3,喜剧-动画-奇幻-冒险,美国,2018,-0.9,0.9
333,8.2,7.3,剧情-惊悚-传记-历史,美国,2017,-0.9,0.9
464,7.6,6.7,剧情-传记,美国,2018,-0.9,0.9
524,8.7,7.8,剧情-悬疑-惊悚,美国-俄罗斯,2018,-0.9,0.9
267,8.3,7.4,喜剧-动画-冒险,法国-比利时,2017,-0.9,0.9
538,8.5,7.6,动画,匈牙利,2018,-0.9,0.9
665,7.3,6.4,悬疑-惊悚,美国,2019,-0.9,0.9
594,7.5,6.6,喜剧-动画-冒险,美国-英国-澳大利亚,2018,-0.9,0.9
646,5.3,4.4,剧情-爱情-情色,美国,2018,-0.9,0.9
618,7.3,6.4,剧情-传记-历史,英国-比利时-意大利-德国,2018,-0.9,0.9
629,7.9,7.0,剧情-犯罪,美国,2018,-0.9,0.9
623,7.6,6.7,喜剧-动画-歌舞-奇幻,美国,2018,-0.9,0.9
40,8.0,7.2,剧情-动画,法国,2016,-0.8,0.8
387,7.0,6.2,喜剧-动作-犯罪-悬疑,中国大陆,2018,-0.8,0.8
631,7.9,7.1,剧情-悬疑-惊悚-犯罪,美国,2018,-0.8,0.8
335,8.4,7.6,剧情-历史,美国,2017,-0.8,0.8
522,8.2,7.4,剧情-惊悚-犯罪,丹麦-法国-德国-瑞典,2018,-0.8,0.8
269,8.4,7.6,动画,爱尔兰-加拿大-卢森堡,2017,-0.8,0.8
595,7.6,6.8,剧情-传记-历史,英国-美国,2018,-0.8,0.8
544,6.4,5.6,动作,英国,2018,-0.8,0.8
153,8.5,7.7,剧情-传记-爱情,爱尔兰-加拿大,2016,-0.8,0.8
288,6.5,5.8,剧情-爱情-惊悚,法国,2017,-0.7,0.7
272,8.6,7.9,剧情-传记-动画,英国-波兰,2017,-0.7,0.7
273,8.9,8.2,剧情-爱情-同性,意大利-法国-巴西-美国,2017,-0.7,0.7
455,7.1,6.4,喜剧-犯罪,美国,2018,-0.7,0.7
144,7.4,6.7,喜剧-动画-冒险,美国,2017,-0.7,0.7
661,6.4,5.7,喜剧-科幻,中国大陆,2019,-0.7,0.7
644,3.7,3.0,恐怖,美国,2018,-0.7,0.7
65,7.4,6.7,动作,中国大陆,2017,-0.7,0.7
564,7.3,6.6,喜剧,中国内地,2018,-0.7,0.7
681,8.0,7.3,科幻-灾难,中国大陆,2019,-0.7,0.7
127,6.8,6.1,喜剧-动画,比利时-法国,2017,-0.7,0.7
525,9.1,8.4,纪录片,美国,2018,-0.7,0.7
132,6.9,6.2,喜剧-动画-冒险,美国-加拿大,2017,-0.7,0.7
420,6.3,5.6,喜剧,美国-中国大陆,2018,-0.7,0.7
323,7.3,6.7,悬疑-惊悚-恐怖,美国,2017,-0.6,0.6
468,8.2,7.6,喜剧-动画-冒险,美国,2018,-0.6,0.6
492,5.4,4.8,惊悚-恐怖,美国,2018,-0.6,0.6
334,8.3,7.7,剧情-爱情-奇幻,美国,2017,-0.6,0.6
443,6.9,6.3,喜剧-动画-奇幻,美国,2018,-0.6,0.6
583,8.7,8.1,剧情-家庭-犯罪,日本,2018,-0.6,0.6
609,6.5,5.9,剧情-喜剧-爱情-同性,美国,2016,-0.6,0.6
630,7.9,7.3,剧情-喜剧,美国,2018,-0.6,0.6
325,7.4,6.8,科幻-惊悚-恐怖,美国,2017,-0.6,0.6
263,8.2,7.6,喜剧-传记-历史,英国-法国,2017,-0.6,0.6
412,6.1,5.5,奇幻-冒险,美国,2018,-0.6,0.6
675,8.9,8.3,剧情-喜剧-传记,美国,2019,-0.6,0.6
232,6.1,5.5,喜剧,法国-比利时,2016,-0.6,0.6
417,6.3,5.7,惊悚,美国,2018,-0.6,0.6
175,7.5,6.9,动画,台湾,2017,-0.6,0.6
201,7.2,6.6,喜剧-奇幻,中国大陆,2017,-0.6,0.6
86,6.2,5.6,科幻,美国,2017,-0.6,0.6
30,6.4,5.8,惊悚-恐怖,英国-美国-多米尼加,2016,-0.6,0.6
68,7.9,7.3,剧情-历史-战争,中国大陆,2017,-0.6,0.6
148,8.0,7.4,纪录片-战争,丹麦-叙利亚,2017,-0.6,0.6
198,7.1,6.5,动画,中国大陆,2017,-0.6,0.6
167,5.9,5.3,喜剧,美国,2017,-0.6,0.6
46,7.4,6.9,剧情-喜剧-爱情-奇幻,英国-美国,2016,-0.5,0.5
305,6.2,5.7,动作-科幻-灾难,美国,2017,-0.5,0.5
627,7.7,7.2,剧情-喜剧-犯罪,美国,2018,-0.5,0.5
472,8.8,8.3,剧情-音乐-传记,英国-美国,2018,-0.5,0.5
331,8.1,7.6,喜剧-动作-动画-冒险,美国,2017,-0.5,0.5
336,8.4,7.9,剧情-传记-灾难,美国,2017,-0.5,0.5
337,8.6,8.1,剧情-儿童-家庭,美国-香港,2017,-0.5,0.5
15,7.6,7.1,喜剧-犯罪-冒险,爱尔兰,2016,-0.5,0.5
614,7.0,6.5,动作-惊悚-犯罪,美国,2018,-0.5,0.5
358,8.3,7.8,剧情-爱情-同性,英国,2017,-0.5,0.5
462,7.4,6.9,剧情-喜剧-冒险,美国,2018,-0.5,0.5
590,6.4,5.9,科幻-悬疑-犯罪,英国-中国大陆-波多黎各-美国,2018,-0.5,0.5
577,6.5,6.0,科幻-动画-灾难,日本,2018,-0.5,0.5
573,8.3,7.8,剧情-惊悚-历史,德国,2018,-0.5,0.5
572,8.2,7.7,剧情-传记-历史,巴西,2015,-0.5,0.5
562,6.7,6.2,喜剧,中国大陆,2018,-0.5,0.5
430,6.6,6.1,动作-犯罪-冒险,美国,2018,-0.5,0.5
439,6.8,6.3,喜剧-动作,美国,2018,-0.5,0.5
510,6.9,6.4,悬疑-惊悚-恐怖,法国-加拿大,2018,-0.5,0.5
351,5.5,5.0,剧情-科幻-惊悚,美国,2017,-0.5,0.5
332,8.1,7.6,喜剧-传记-运动,美国,2017,-0.5,0.5
258,7.9,7.4,剧情-历史-冒险,俄罗斯,2017,-0.5,0.5
260,7.9,7.4,剧情-喜剧,芬兰-德国,2017,-0.5,0.5
254,7.6,7.1,喜剧-动作,美国-中国大陆-保加利亚-荷兰,2017,-0.5,0.5
499,6.2,5.8,科幻,加拿大,2018,-0.4,0.4
411,6.1,5.7,剧情-传记-犯罪,美国,2018,-0.4,0.4
509,6.9,6.5,动作-科幻-冒险,美国-西班牙,2018,-0.4,0.4
506,6.7,6.3,剧情-科幻,德国-法国-英国-波兰-美国,2018,-0.4,0.4
53,7.1,6.7,动作-科幻-冒险,法国,2017,-0.4,0.4
154,8.7,8.3,剧情-犯罪,美国-英国,2017,-0.4,0.4
111,9.1,8.7,喜剧-动画-冒险-音乐-家庭,美国,2017,-0.4,0.4
426,6.5,6.1,动作-惊悚-冒险,美国,2018,-0.4,0.4
145,7.4,7.0,动作-悬疑-惊悚,美国,2017,-0.4,0.4
536,7.1,6.7,传记-历史-战争,西班牙,2018,-0.4,0.4
131,6.9,6.5,剧情-爱情-惊悚,法国-比利时,2017,-0.4,0.4
342,5.1,4.7,喜剧,美国,2017,-0.4,0.4
34,7.1,6.7,剧情-灾难,亚美尼亚-俄罗斯,2016,-0.4,0.4
143,7.3,7.0,喜剧-传记-运动-同性,英国-美国,2017,-0.3,0.3
172,6.5,6.2,动画,日本,2017,-0.3,0.3
79,6.0,5.7,喜剧-动作,美国,2017,-0.3,0.3
664,6.7,6.4,悬疑-惊悚-恐怖,美国,2019,-0.3,0.3
140,7.3,7.0,动作-奇幻-冒险,美国,2017,-0.3,0.3
248,7.0,6.7,剧情-犯罪-悬疑,美国-马耳他,2017,-0.3,0.3
674,6.8,6.5,动作,美国-德国,2019,-0.3,0.3
677,7.9,7.6,科幻-悬疑-惊悚,西班牙,2018,-0.3,0.3
460,7.3,7.0,动作-科幻-惊悚,美国-中国大陆,2018,-0.3,0.3
514,7.2,6.9,奇幻-冒险,美国-英国,2018,-0.3,0.3
516,7.5,7.2,犯罪-西部-冒险,美国-法国-罗马尼亚-西班牙,2018,-0.3,0.3
518,7.8,7.5,动作-奇幻-冒险,美国-澳大利亚,2018,-0.3,0.3
141,7.3,7.0,剧情-传记-历史-犯罪,智利-阿根廷-法国-西班牙-美国,2017,-0.3,0.3
662,6.8,6.5,冒险,美国,2019,-0.3,0.3
641,5.6,5.3,喜剧-同性,美国,2018,-0.3,0.3
188,8.2,7.9,剧情-喜剧,印度,2017,-0.3,0.3
621,7.5,7.2,喜剧-奇幻,美国,2018,-0.3,0.3
655,7.1,6.8,剧情-爱情,韩国,2018,-0.3,0.3
503,6.6,6.3,动作-科幻-冒险,美国-新西兰,2018,-0.3,0.3
657,8.3,8.0,剧情-悬疑,韩国,2018,-0.3,0.3
316,6.9,6.6,剧情-喜剧,美国,2017,-0.3,0.3
638,5.9,5.6,喜剧,美国,2018,-0.3,0.3
259,7.9,7.6,剧情-喜剧,瑞典-德国-法国-丹麦,2017,-0.3,0.3
608,6.8,6.5,动作-犯罪-惊悚,美国-英国,2018,-0.3,0.3
615,7.0,6.7,爱情-灾难,美国,2018,-0.3,0.3
161,5.4,5.2,剧情-悬疑-惊悚-犯罪,英国-美国-瑞典,2017,-0.2,0.2
105,7.4,7.2,动作-奇幻-冒险,美国,2017,-0.2,0.2
649,3.3,3.1,科幻,美国,2018,-0.2,0.2
434,6.7,6.5,动作-科幻-冒险,美国,2018,-0.2,0.2
237,6.4,6.2,剧情-爱情,美国-英国,2017,-0.2,0.2
480,5.8,5.6,惊悚,美国,2018,-0.2,0.2
628,7.7,7.5,剧情-喜剧,美国,2018,-0.2,0.2
465,7.9,7.7,动作-科幻-惊悚,澳大利亚,2018,-0.2,0.2
247,7.0,6.8,喜剧-传记-爱情,法国-缅甸,2017,-0.2,0.2
110,8.0,7.8,剧情-儿童,美国,2017,-0.2,0.2
470,8.3,8.1,动作-惊悚-冒险,美国,2018,-0.2,0.2
500,6.2,6.0,科幻-惊悚,德国,2018,-0.2,0.2
593,6.8,6.6,剧情-历史-灾难,法国-比利时-卢森堡,2018,-0.2,0.2
463,7.5,7.3,剧情-犯罪,英国-美国,2018,-0.2,0.2
147,7.9,7.7,剧情-战争,法国-加拿大,2017,-0.2,0.2
382,6.2,6.0,恐怖,法国,2018,-0.2,0.2
264,8.2,8.0,喜剧-爱情,美国,2017,-0.2,0.2
597,8.4,8.2,喜剧-动画-冒险,美国-德国,2018,-0.2,0.2
450,7.0,6.8,剧情-科幻-惊悚,美国,2018,-0.2,0.2
458,7.2,7.1,剧情-悬疑-犯罪,美国,2018,-0.1,0.1
520,7.9,7.8,科幻-悬疑-惊悚,美国-英国,2018,-0.1,0.1
515,7.5,7.4,剧情-喜剧-传记,英国-美国-加拿大,2018,-0.1,0.1
456,7.1,7.0,剧情-历史-战争,美国,2018,-0.1,0.1
485,5.7,5.6,科幻,美国,2018,-0.1,0.1
487,5.3,5.2,科幻-犯罪-惊悚,美国,2018,-0.1,0.1
369,7.2,7.1,喜剧-动作-犯罪,韩国,2017,-0.1,0.1
497,6.2,6.1,喜剧-动画-冒险,英国-法国-美国,2018,-0.1,0.1
41,7.3,7.2,剧情-同性,爱尔兰,2016,-0.1,0.1
270,8.5,8.4,剧情-科幻-惊悚,美国-加拿大-英国,2017,-0.1,0.1
620,7.4,7.3,喜剧-犯罪-悬疑,美国,2018,-0.1,0.1
338,5.8,5.7,剧情-惊悚,美国,2017,-0.1,0.1
521,8.1,8.0,剧情-爱情,波兰-法国-英国,2018,-0.1,0.1
366,6.9,6.8,剧情-动作-犯罪,韩国,2017,-0.1,0.1
377,7.9,7.8,惊悚,丹麦,2018,-0.1,0.1
389,7.4,7.3,剧情-动作-武侠-古装,中国大陆,2018,-0.1,0.1
405,5.4,5.3,动作-冒险,美国,2018,-0.1,0.1
423,6.4,6.3,剧情-爱情-奇幻,美国,2018,-0.1,0.1
268,8.3,8.2,喜剧-家庭,英国-法国-美国,2017,-0.1,0.1
663,6.1,6.0,惊悚-恐怖,香港-美国,2019,-0.1,0.1
550,7.2,7.1,剧情-爱情-运动,俄罗斯,2018,-0.1,0.1
547,7.2,7.1,剧情-动作-传记,英国,2018,-0.1,0.1
529,5.8,5.7,惊悚-恐怖,美国-加拿大,2018,-0.1,0.1
101,7.1,7.0,喜剧-动画-冒险,美国,2017,-0.1,0.1
296,8.3,8.2,剧情-犯罪-悬疑,泰国,2017,-0.1,0.1
319,7.1,7.0,剧情-悬疑-犯罪,美国,2017,-0.1,0.1
685,6.1,6.1,喜剧-爱情-奇幻,美国,2019,0.0,0.0
103,7.2,7.2,动作-奇幻-冒险,美国,2017,0.0,0.0
625,7.6,7.6,悬疑-恐怖,美国,2018,0.0,0.0
622,7.6,7.6,剧情-传记-历史,美国,2018,0.0,0.0
560,6.5,6.5,动作-悬疑-古装,中国大陆-香港,2018,0.0,0.0
552,7.0,7.0,喜剧,印度,2018,0.0,0.0
523,8.7,8.7,动作-科幻-动画-冒险,美国,2018,0.0,0.0
504,6.7,6.7,动作-惊悚,中国大陆,2017,0.0,0.0
602,6.1,6.1,剧情-惊悚-犯罪,美国,2018,0.0,0.0
471,8.5,8.5,纪录片,美国,2018,0.0,0.0
329,7.8,7.8,剧情-爱情,美国,2017,0.0,0.0
445,7.0,7.0,动作-惊悚-犯罪,美国,2018,0.0,0.0
252,7.5,7.5,喜剧,美国,2017,0.0,0.0
200,7.2,7.2,动作-惊悚,英国-中国大陆,2017,0.0,0.0
457,7.2,7.2,动作-科幻-冒险,美国,2018,0.0,0.0
151,8.3,8.3,剧情-历史-战争,英国-法国-美国-荷兰,2017,0.0,0.0
467,8.0,8.0,喜剧-动作-动画-冒险,美国,2018,0.0,0.0
327,7.7,7.7,剧情-喜剧-传记,美国,2017,0.0,0.0
326,7.6,7.6,剧情-犯罪,美国,2017,0.0,0.0
354,6.5,6.5,剧情-传记-惊悚,英国,2017,0.0,0.0
137,7.1,7.1,剧情-爱情-传记,英国,2017,0.0,0.0
138,7.2,7.2,喜剧-动作-冒险,英国-美国,2017,0.0,0.0
435,6.7,6.7,剧情-惊悚-恐怖,美国,2018,0.0,0.0
446,7.0,7.1,动作-科幻-冒险,美国,2018,0.1,0.1
606,6.4,6.5,喜剧,美国,2018,0.1,0.1
45,7.4,7.5,剧情-动作-犯罪-惊悚,美国,2016,0.1,0.1
187,7.2,7.3,剧情-惊悚,印度,2017,0.1,0.1
88,6.3,6.4,剧情-音乐,美国,2017,0.1,0.1
83,6.1,6.2,喜剧-音乐,美国,2017,0.1,0.1
328,7.7,7.8,恐怖,美国,2017,0.1,0.1
527,5.0,5.1,悬疑-惊悚-恐怖,美国,2018,0.1,0.1
314,6.8,6.9,悬疑-惊悚-恐怖,美国,2017,0.1,0.1
236,6.3,6.4,喜剧-惊悚-恐怖,西班牙-阿根廷,2017,0.1,0.1
616,7.1,7.2,剧情-喜剧-传记-犯罪,美国,2018,0.1,0.1
447,7.0,7.1,歌舞,美国,2018,0.1,0.1
669,5.6,5.7,剧情-惊悚,美国,2019,0.1,0.1
406,6.0,6.2,剧情-音乐,美国,2018,0.2,0.2
48,6.5,6.7,动作-犯罪,韩国,2016,0.2,0.2
287,4.6,4.8,爱情-惊悚-同性,加拿大,2017,0.2,0.2
136,7.1,7.3,剧情-传记,美国,2017,0.2,0.2
604,6.3,6.5,剧情-传记-历史,美国,2018,0.2,0.2
178,8.0,8.2,剧情-音乐,印度,2017,0.2,0.2
508,6.8,7.0,动作-科幻-恐怖-战争,美国-加拿大,2018,0.2,0.2
106,7.5,7.7,剧情-奇幻-冒险,美国,2017,0.2,0.2
98,6.8,7.0,剧情-悬疑-惊悚,美国,2017,0.2,0.2
104,7.3,7.5,动作-科幻-冒险,美国,2017,0.2,0.2
668,5.4,5.6,动作-惊悚,美国,2019,0.2,0.2
81,6.0,6.2,科幻-惊悚,美国,2017,0.2,0.2
512,7.0,7.2,惊悚-恐怖,美国-意大利,2018,0.2,0.2
339,5.4,5.7,剧情-喜剧-科幻,美国,2017,0.3,0.3
146,7.4,7.7,爱情-奇幻-歌舞,美国,2017,0.3,0.3
376,7.2,7.5,剧情-传记,中国大陆-美国,2017,0.3,0.3
186,7.1,7.4,剧情-喜剧,印度,2017,0.3,0.3
348,5.4,5.7,惊悚-恐怖,美国,2017,0.3,0.3
453,7.1,7.4,悬疑-惊悚,美国,2018,0.3,0.3
255,7.7,8.0,动作-犯罪-悬疑,英国-加拿大-美国,2017,0.3,0.3
162,5.0,5.3,剧情-科幻-惊悚,阿联酋-美国,2017,0.3,0.3
617,7.2,7.5,剧情-喜剧,美国,2018,0.3,0.3
537,5.6,5.9,剧情-惊悚,西班牙,2018,0.3,0.3
666,7.5,7.8,动画-奇幻-冒险,美国,2019,0.3,0.3
494,5.8,6.1,动作-犯罪-惊悚,美国-英国,2018,0.3,0.3
519,7.9,8.2,剧情-科幻-悬疑-惊悚,英国-美国,2018,0.3,0.3
603,5.7,6.1,科幻-悬疑-惊悚,美国,2018,0.4,0.4
211,5.1,5.5,剧情-动作-科幻,中国大陆,2017,0.4,0.4
95,6.7,7.1,动作-科幻-奇幻-冒险,美国,2017,0.4,0.4
486,5.2,5.6,科幻-惊悚,美国,2018,0.4,0.4
422,6.4,6.8,剧情-悬疑-惊悚,美国,2018,0.4,0.4
428,6.5,7.0,剧情-冒险,美国,2018,0.5,0.5
633,8.2,8.7,动作-科幻-奇幻-冒险,美国,2018,0.5,0.5
285,5.8,6.3,剧情-悬疑-惊悚-恐怖,澳大利亚,2017,0.5,0.5
605,6.3,6.8,动作-冒险,美国,2018,0.5,0.5
541,7.6,8.1,剧情-传记,印度,2018,0.5,0.5
442,6.3,6.8,喜剧,美国,2018,0.5,0.5
611,6.7,7.2,剧情-喜剧-传记-历史,美国,2018,0.5,0.5
245,6.9,7.4,剧情-惊悚-同性-奇幻,挪威-法国-丹麦-瑞典,2017,0.5,0.5
28,6.3,6.8,剧情-动作-犯罪,英国-法国,2016,0.5,0.5
650,6.8,7.3,剧情-惊悚-犯罪,英国,2018,0.5,0.5
250,7.1,7.7,剧情-奇幻-惊悚,英国-爱尔兰,2017,0.6,0.6
29,5.8,6.4,剧情-喜剧,加拿大-西班牙,2016,0.6,0.6
680,5.8,6.4,剧情-喜剧,中国大陆-香港,2019,0.6,0.6
383,6.7,7.3,剧情-恐怖-歌舞,法国,2018,0.6,0.6
451,7.0,7.6,喜剧-传记-犯罪,美国,2018,0.6,0.6
91,5.8,6.4,剧情-爱情-科幻-冒险,美国,2017,0.6,0.6
107,7.5,8.1,动作-奇幻-冒险,美国,2017,0.6,0.6
501,5.6,6.2,喜剧-奇幻-冒险,美国-印度-加拿大,2018,0.6,0.6
498,6.2,6.9,剧情-传记,瑞士-爱尔兰-英国-法国-美国,2018,0.7,0.7
507,6.8,7.5,剧情-惊悚-犯罪,意大利-法国,2018,0.7,0.7
42,5.3,6.0,剧情-喜剧-奇幻-惊悚-恐怖,英国,2016,0.7,0.7
438,6.7,7.4,喜剧-爱情,美国,2018,0.7,0.7
526,5.1,5.8,动作-科幻-惊悚-冒险,美国-加拿大,2018,0.7,0.7
242,5.9,6.6,剧情-传记,爱尔兰-加拿大,2016,0.7,0.7
230,6.1,6.8,剧情-传记-历史,英国-美国,2017,0.7,0.7
419,6.3,7.0,惊悚-恐怖,美国,2018,0.7,0.7
686,6.3,7.0,悬疑-惊悚-犯罪,美国,2019,0.7,0.7
490,5.0,5.7,惊悚-恐怖,美国,2018,0.7,0.7
157,5.2,5.9,动作-奇幻-冒险,美国,2017,0.7,0.7
72,3.5,4.2,动作-犯罪-冒险,中国,2017,0.7,0.7
553,7.6,8.3,剧情-喜剧-传记,印度,2018,0.7,0.7
452,7.1,7.9,喜剧-爱情,美国,2018,0.8,0.8
102,7.2,8.0,动作-奇幻-冒险,美国,2017,0.8,0.8
610,6.6,7.4,剧情-爱情-犯罪,美国,2018,0.8,0.8
575,5.6,6.4,剧情-灾难,挪威,2018,0.8,0.8
135,7.0,7.8,剧情-动作-科幻,美国,2017,0.8,0.8
459,7.3,8.2,剧情-爱情-音乐,美国,2018,0.9,0.9
505,6.7,7.6,喜剧-恐怖,丹麦-德国,2018,0.9,0.9
612,6.7,7.7,动作-科幻-冒险,美国,2018,1.0,1.0
184,6.6,7.8,剧情-喜剧,印度,2017,1.2,1.2
556,6.0,7.2,剧情-动作,中国大陆-香港,2018,1.2,1.2
440,5.5,6.8,动作-科幻-冒险,美国,2018,1.3,1.3
432,6.6,8.0,惊悚-恐怖,美国,2018,1.4,1.4
495,6.1,7.5,剧情-惊悚,挪威,2018,1.4,1.4
535,6.8,8.3,动作-动画-奇幻,泰国,2018,1.5,1.5
185,7.1,8.7,剧情-动作-战争-奇幻-冒险,印度,2017,1.6,1.6
243,5.0,6.7,动作-科幻-冒险,美国-中国香港-加拿大,2017,1.7,1.7
33,4.5,6.7,动画-家庭-冒险,俄罗斯-中国大陆,2016,2.2,2.2
